id,amenities,description
40601,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Private bedroom and bathroom in my house in Jamaica Plain, a neighborhood of Boston.  Convenient to public transportation, downtown Boston and the medical centers.  Room has a queen bed. House can accomodate others on a queen air mattress in study. Private room with a private bath in Jamaica Plain, a diverse neighborhood of Boston.  Room overlooks a quiet garden with lots of natural light.  The room has a queen bed so it it suitable for a single or a couple.  House has central air conditioning, high-speed wireless network, modern kitchen and laundry facilities that guests are welcome to use.  The house is on four levels so there are three staircases each with a landing mid way-the bedroom is one flight up from ground level. There are several grocery stores nearby (walk to Whole Foods) as well as many restaurants, coffee shops, sandwich shops, bakeries and bars.  Jamaica Pond with walking and jogging trails is less than 1/2 mile away. The house is a 7 minute walk from the Green Street S"
5153080,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Lots of of funky art in this two bedroom apartment in Boston's South End. On a main street, but very quiet. Plenty of room for privacy with easy access to a private park to relax & recoup. Or feel free to play any of the board games I enjoy for fun! Guests have a private bedroom with a comfortable queen size bed (updated May 2016 with a brand new mattress), closet space and drawers, as well as a shared bathroom, kitchen, living and dining room. In the warmer weather (or anytime if you feel so inclined!), a patio private to the apartment and an adjacent park also are welcoming spots for guests.  I have plenty of board games and love to join a game, or feel free to play yourselves! The apartment is on two floors divided by a spiral staircase. The bedrooms and bathrooms are upstairs and the living area is downstairs, so there is more than enough room to be separated and have privacy. Note that the bedroom looks bigger in the fancy AirBnB photos than it really is.  Also, the bed is a queen"
3629014,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Great LOCATION. Dedicated off-street PARKING. Hotel comfort in unusual, private room, 2 new queen-sized beds, w/new, dedicated guest bathroom - awesome shower. ALL people, all identities,  all ethnicities WELCOME. 4 min. walk to Train. If you are one person, or two who want to sleep together, the bed on the ground level is perfect. If you are more than 2, or you are two people who prefer to sleep separately, we open up access to the loft. Lovely home of an Artist who adores Hosting. The PINK ROOM is roomy for one person, perfect for two, and just as perfect for an extra individual or couple, or individual or couple with children.  If you come with a vehicle, we offer a designated, off-street parking spot. Public transportation? A short 2  1/2 city block walk to the Orange line at Stony Brook Station, a 10 minute train ride to Back Bay or high- speed to the heart of downtown Boston. Only a 2 minute walk to City Feed & Supply (which offers the best neighborhood coffee, healthy staples, a"
4457943,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Sunny Boston private bedroom & bathroom on the third floor in a townhome loft in Jamaica Plain, MA 02130 near Orange Line trains, cafes, shops, parks, bike shares, car shares, amazing walkable locale & Boston attractions!  Stairs to 2nd floor - shared full kitchen/living room with ac, wifi & cable tv.  Stairs to 3rd floor - bright, spacious private bedroom with lock, ac, queen bed & private bath! Free street parking on Minton, Merriam, Cornwall, or Amory Street, or on Brookside Avenue. Welcome to The Yellow Room in The Brick House! This sunny, secure, penthouse, private bedroom and private bathroom is located on the third floor of a townhouse loft with tall, exposed ceilings for a raw studio look with modern furniture in Jamaica Plain, MA 02130.  It comfortably sleeps a maximum of 2 people. Stairs to the 2nd floor lead to the shared kitchen/living room space with air conditioner, heater, ceiling fan, granite countertops, wood island, dishwasher, toaster, coffeemaker, refrigerator, iron"
8518237,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","Private apartment- one bedroom, bathroom, living room and eat in kitchen.  Private outdoor patio and off street parking.  On the Green Line - Boston College or South Street Stops. Blocks from BC, the Chestnut Hill reservoir, restaurants and cafes Modern well appointed space.  Everything you could want for a fun getaway, a business stay or a longer visit to the area.  Comfortable new queen size bed, fresh cotton linens, towels, soaps and shampoos are provided.  Air-conditioned in the summer and comfortable in floor heat in the winter, this space is sure to be a comfort during your travels. Nespresso VirtuoLine coffee maker and coffee pods are provided for your enjoyment. Free parking for one car is included.  The driveway entrance is off of Greycliff  - The parking spot is to the left and all the way forward on the gravel drive. This is a complete private apartment with a full kitchen, bedroom and bathroom.  We welcome you to make yourself at home, but please clean up the dishes (load t"
6390634,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}","Just steps from public transit, nestled away on a quiet dead end street in the greenest part of town, and a quick ride to the heart of the city - this place offers the best of both worlds!  Enjoy the comfort of a newer home with all the modern conveniences including central air for those hot summer days and nights! I have temporarily closed off my calendar starting in November due to extended travel, however if you have been a guest before or are looking for longer term accommodations of at least a month please feel free to message me and we will try to accommodate your stay! Newer construction blended into a neighborhood built over a century ago in this home you'll enjoy the conveniences of a modern home (like multiple bathrooms, and central Air) in a charming old Boston neighborhood.    Conveniently located just a 3 minute walk to the T and you can take the orange line downtown in 12 minutes, or catch the Bus to many locations (very easy to Longwood Medical). Newbury Street and Cople"
5088560,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","Spectacular, newly renovated penthouse on the SE/Back Bay line.  Gorgeous, modern, light filled 950 sq ft. floor-through condo with breathtaking views of Boston's skyline from your private roofdeck. Perfect location just steps to Prudential, Fenway, Newbury St & Symphony Hall with 100% 5 star reviews! Totally renovated in 2015, this stunning 2 bedroom/1.5 bath penthouse floor through with central air, hardwood floors and in-unit washer/dryer is located in a historic brownstone and perfectly situated on the South End/Back Bay line. Close to award winning restaurants, the Prudential/Copley shops, Newbury Street, Boston Common, historic Fenway Park, Symphony Hall and public transportation to anywhere in Boston, you will truly have access to all that Boston has to offer. The beautiful and original staircase into the unit invites you into a bright open kitchen/living space, a wall-of-windows with crisp white Hunter Douglas blinds with gorgeous views and a dramatic kitchen with espresso cabi"
8733896,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","Beautiful 1500 sqft 2 bed newly renovated luxury loft style condo in the heart of downtown Boston right by South Station. It is extremely conveniently located, within 20 minutes of walk away from all the main attractions and neighbourhoods in Boston. This Beautiful 1,500 sq ft, 2 bedroom condo has 10' high ceilings, hardwood flooring, stylish furniture, all new stainless steel appliances, brand new washer and dryer, beautiful private en-suite bathroom, and the most comfortable king bed. The place is very spacious, sunny, and clean. You will love the space so much that you won't want to leave :) You will have access to the master bedroom and its en-suite master bathroom, as well as the living room, and all appliances and utilities. I will try my best to be there to meet you upon arrival, and show you around. It is in the center of everything you could possibly want access to. 2 minute walk to South Station - the main bus/train terminal, and where the airport shuttle is. 2 minute walk to"
8704161,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_50""}","Pedestrian street, walk to Park, Faneuil Hall, Whole Foods supermarket, TD Garden, restaurants. Immaculately furnished, free wifi, 2 HD TVs, surround sound music, original paintings, private deck, upgraded bath/kitchen, 9 foot windows, great light Very quiet, 1,200 square foot, beautifully furnished, oriental hand made rugs, 2 queen size beds on two floors, two full baths on two floors, beautiful curtains, hard wood floors, 6 person dining table, two living room spaces, two fire places, fully equipped kitchen Unit #2 If you need help we are available Quiet tree lined pedestrian street, next to State house. Very secure neighborhood. 5 minute walk to public transportation/subway, 10 minute walk to downtown Newbury Street, taxis always available on the street"
3415033,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","Can't beat location. Large floor to ceiling windows fill the apartment with light. Large bedroom is fully furnished with a queen size bed, dresser and a desk in a modern well appointed Loft style apartment. Large floor to ceiling windows fill the apartment with light. The large bedroom with closet is fully furnished with a queen size bed, dresser and a desk in a modern well appointed Loft style apartment.  There is a 60"" 3D LED television in the living area. Since there are two bathrooms in the house you will essentially have your own bathroom with fresh linens, toiletries and a hair dryer.  There is a washer & dryer that are also available for use. Please, make yourself at home here! You have full access to all the common areas of the apartment which includes full use of our modern kitchen and the living area. Our washer & dryer are available for your use and we provide dye and perfume free liquid detergent and of course dryer sheets (we ask that you please be considerate and not run "
