id,review_scores_rating,number_of_reviews
40601,100,55
5153080,100,49
3629014,100,48
4457943,100,44
8518237,100,42
6390634,100,41
5088560,100,38
8733896,100,37
8704161,100,24
3415033,100,24
10671192,100,24
6677469,100,23
6895050,100,21
4402209,100,20
11202183,100,20
11122394,100,19
1757417,100,19
5684598,100,19
5726250,100,18
9590679,100,17
9013631,100,16
9463444,100,16
8523157,100,16
5919529,100,15
13298546,100,15
8480507,100,15
3343428,100,14
3458030,100,14
13296735,100,14
14105971,100,13
11121872,100,13
9273,100,13
1301500,100,13
11992431,100,13
1403408,100,12
3783090,100,12
6939162,100,12
7879708,100,12
13550969,100,11
6862758,100,11
7205210,100,11
13083058,100,11
14178758,100,11
7961477,100,11
8827268,100,11
9415687,100,11
8301926,100,11
6118583,100,10
4588530,100,10
13188046,100,10
9340410,100,10
12033661,100,10
3808557,100,10
13140867,100,9
8428052,100,9
5885130,100,9
8133752,100,9
3351728,100,9
8417742,100,9
1596470,100,9
11494020,100,9
8371115,100,9
7634067,100,9
583255,100,9
14086516,100,9
12997334,100,8
12069214,100,8
5049582,100,8
629814,100,8
9425902,100,8
3593290,100,8
12386020,100,8
6911945,100,8
8371203,100,8
12797493,100,8
11470818,100,8
13375092,100,8
12647606,100,8
2649521,100,8
10379031,100,8
8596320,100,8
13275334,100,8
8420956,100,8
12191871,100,7
12855005,100,7
851927,100,7
5592866,100,7
13318173,100,7
7633883,100,7
10787333,100,7
13951039,100,7
12683680,100,7
8789821,100,7
4339392,100,7
6104388,100,7
12221012,100,6
6879036,100,6
11648212,100,6
8747720,100,6
9460898,100,6
9057435,100,6
11624428,100,6
7554801,100,6
13531200,100,6
5588537,100,6
14153636,100,6
965554,100,6
13605196,100,6
13513012,100,6
2592416,100,6
1421610,100,6
9329398,100,6
12541136,100,6
9755993,100,6
13746896,100,6
5918944,100,5
9459945,100,5
8275122,100,5
13378923,100,5
11474629,100,5
2374089,100,5
10034183,100,5
8460627,100,5
3641545,100,5
9364092,100,5
4294557,100,5
7789429,100,5
11906382,100,5
5445126,100,5
4119345,100,5
6644330,100,5
14221294,100,5
10634364,100,5
7635616,100,5
9273978,100,5
13081090,100,5
12825412,100,5
14414473,100,4
2880944,100,4
14591627,100,4
13872339,100,4
13074722,100,4
12268144,100,4
8310660,100,4
12626504,100,4
8481291,100,4
5352623,100,4
14426124,100,4
13378936,100,4
13015653,100,4
4173285,100,4
8226982,100,4
8828147,100,4
13642397,100,4
5495547,100,4
3703674,100,4
5891012,100,4
9626892,100,4
3236496,100,4
13813380,100,4
4698487,100,4
13190410,100,4
12587887,100,4
11788394,100,4
13546070,100,4
11686744,100,4
1401625,100,4
8325477,100,4
12143408,100,4
5659866,100,4
6000531,100,4
8613870,100,4
14217967,100,4
12891323,100,4
7698631,100,4
12949270,100,3
9918240,100,3
3997572,100,3
9685076,100,3
5317935,100,3
2821921,100,3
12599820,100,3
9826706,100,3
5727231,100,3
12094488,100,3
6939759,100,3
12492474,100,3
7582651,100,3
12971329,100,3
9183638,100,3
737519,100,3
735970,100,3
14714374,100,3
11947150,100,3
13192046,100,3
1721016,100,3
13714934,100,3
5851489,100,3
14698794,100,3
10749312,100,3
14124430,100,3
13549924,100,3
12508801,100,3
9953144,100,3
10835494,100,3
7982359,100,3
10279083,100,3
4080849,100,3
8327907,100,3
14219033,100,3
11905849,100,3
14843783,100,3
12618291,100,3
11885653,100,3
7920759,100,3
11990528,100,3
10186477,100,3
5067019,100,3
10228457,100,3
2769450,100,3
12932001,100,3
13449049,100,3
6027467,100,3
12608363,100,2
7713815,100,2
3342206,100,2
13924495,100,2
7280665,100,2
8052494,100,2
10611728,100,2
8732121,100,2
10478553,100,2
3415245,100,2
14506396,100,2
14461747,100,2
10117329,100,2
11569331,100,2
12707324,100,2
13622776,100,2
14461498,100,2
13249829,100,2
12843196,100,2
6921241,100,2
8758450,100,2
8303267,100,2
4461111,100,2
3820516,100,2
4461901,100,2
8189821,100,2
13707814,100,2
13015927,100,2
5660081,100,2
7006683,100,2
6291807,100,2
14013583,100,2
9331460,100,2
12126299,100,2
7454907,100,2
8161218,100,2
14254537,100,2
13239143,100,2
12176027,100,2
9473816,100,2
13996398,100,2
14711359,100,2
12534735,100,2
8272350,100,2
7293671,100,2
12699603,100,2
7724412,100,2
9238963,100,2
14592547,100,2
8134231,100,2
13801598,100,2
6053700,100,2
13578106,100,2
9712731,100,2
4710583,100,2
10050351,100,2
14400847,100,2
8336347,100,2
14443295,100,2
13968572,100,2
8921130,100,2
11474130,100,2
10208321,100,2
9949819,100,2
8014683,100,2
13078025,100,2
9078482,100,2
11799482,100,2
11940785,100,2
11592154,100,2
6684904,100,2
14368660,100,2
9834617,100,2
13435185,100,2
11061030,100,2
7832890,100,2
14522631,100,2
9574727,100,2
7054912,100,2
14071446,100,2
13478868,100,2
1222327,100,2
8461819,100,2
13265095,100,2
799701,100,2
14679817,100,2
13490438,100,2
10656576,100,2
7240775,100,2
8983081,100,2
7093109,100,2
12833084,100,2
7620413,100,2
14402688,100,2
8680170,100,2
7837202,100,2
13460331,100,2
7185881,100,2
14778561,100,2
5725804,100,2
6400348,100,2
5584915,100,2
14035936,100,2
4978467,100,2
9626428,100,1
6287797,100,1
5856633,100,1
7645862,100,1
646087,100,1
9430774,100,1
13555596,100,1
7511737,100,1
13866156,100,1
7694365,100,1
6640662,100,1
8201104,100,1
12998582,100,1
14770892,100,1
5590505,100,1
12034317,100,1
12208307,100,1
7592616,100,1
14663743,100,1
7740592,100,1
6476613,100,1
9508975,100,1
7052171,100,1
13713445,100,1
13024208,100,1
8309604,100,1
14055887,100,1
2684840,100,1
13530359,100,1
1214214,100,1
13355213,100,1
639101,100,1
11530331,100,1
5932267,100,1
12873559,100,1
8048838,100,1
12592696,100,1
10882267,100,1
11528125,100,1
7474044,100,1
14655187,100,1
13090471,100,1
11036835,100,1
10860611,100,1
5858133,100,1
9991857,100,1
12262803,100,1
14603013,100,1
14682931,100,1
13017460,100,1
9541666,100,1
9343915,100,1
14651378,100,1
9327506,100,1
14683493,100,1
9228519,100,1
13028247,100,1
12998272,100,1
8029788,100,1
1589392,100,1
7783953,100,1
11866869,100,1
9470342,100,1
7678756,100,1
5212321,100,1
3420384,100,1
6373729,100,1
8970779,100,1
14774426,100,1
10411383,100,1
12274601,100,1
9390951,100,1
9865550,100,1
14533011,100,1
8015793,100,1
4112178,100,1
14759485,100,1
13512930,100,1
13397390,100,1
12022134,100,1
11398458,100,1
13655073,100,1
12303347,100,1
13586128,100,1
13024385,100,1
5719606,100,1
12302222,100,1
1929406,100,1
10116429,100,1
4489920,100,1
10116601,100,1
14025410,100,1
6693305,100,1
9349646,100,1
12986016,100,1
14742722,100,1
14104621,100,1
12726343,100,1
13248823,100,1
4644455,100,1
14572511,100,1
7514336,100,1
5511911,100,1
9137560,100,1
7080514,100,1
1886037,100,1
5768195,100,1
10945774,100,1
4653267,100,1
14074739,100,1
11159585,100,1
4759640,100,1
10190260,100,1
9905304,100,1
12368082,100,1
9922595,100,1
14813006,100,1
11983535,100,1
13298137,100,1
14760739,100,1
10249798,100,1
12752020,100,1
9166393,100,1
13078148,100,1
7618925,100,1
67946,100,1
8518665,100,1
54487,100,1
12287958,100,1
13363171,100,1
8082512,100,1
14486237,100,1
12384469,100,1
14469894,100,1
14414330,100,1
12973308,100,1
6951829,100,1
11087731,100,1
6844012,100,1
14360470,100,1
6790961,100,1
14823724,100,1
11985521,100,1
10033715,100,1
4644069,100,1
6921672,100,1
13866603,100,1
12899026,100,1
5498472,100,1
8097453,100,1
8146576,100,1
951480,100,1
12796034,100,1
13079902,100,1
13824970,100,1
5447285,100,1
