date,count
2009-03-21,1
2009-04-23,1
2009-05-01,1
2009-07-19,1
2009-08-06,1
2009-08-23,1
2009-09-14,1
2009-09-19,1
2009-09-21,1
2009-10-04,1
2009-10-11,1
2009-10-19,1
2009-10-21,1
2009-10-25,1
2009-10-31,1
2009-11-02,1
2009-11-15,1
2009-11-29,1
2009-12-24,1
2009-12-29,1
2010-01-02,1
2010-01-19,1
2010-02-13,1
2010-02-15,1
2010-02-19,1
2010-03-07,1
2010-03-14,1
2010-03-21,1
2010-04-22,1
2010-04-26,1
2010-05-05,1
2010-05-11,1
2010-05-12,1
2010-05-14,1
2010-05-17,1
2010-05-19,1
2010-05-24,2
2010-05-26,2
2010-05-29,1
2010-06-01,2
2010-06-06,1
2010-06-09,1
2010-06-13,1
2010-06-20,1
2010-06-23,2
2010-07-04,1
2010-07-05,2
2010-07-09,1
2010-07-16,1
2010-07-19,1
2010-07-20,1
2010-07-22,1
2010-07-23,1
2010-07-25,1
2010-07-26,1
2010-07-28,1
2010-07-29,1
2010-08-01,1
2010-08-04,2
2010-08-05,1
2010-08-06,1
2010-08-08,2
2010-08-09,1
2010-08-11,1
2010-08-12,1
2010-08-14,3
2010-08-16,2
2010-08-17,1
2010-08-18,2
2010-08-21,1
2010-08-22,1
2010-08-23,2
2010-08-24,1
2010-08-26,1
2010-08-27,1
2010-08-28,2
2010-08-30,1
2010-08-31,2
2010-09-01,1
2010-09-03,2
2010-09-05,1
2010-09-06,1
2010-09-07,4
2010-09-08,2
2010-09-11,2
2010-09-12,1
2010-09-13,1
2010-09-15,3
2010-09-16,1
2010-09-17,1
2010-09-18,1
2010-09-20,1
2010-09-21,1
2010-09-22,1
2010-09-23,1
2010-09-24,1
2010-09-25,2
2010-09-26,3
2010-09-27,2
2010-09-28,2
2010-09-30,2
2010-10-02,1
2010-10-03,1
2010-10-04,2
2010-10-05,3
2010-10-07,5
2010-10-08,1
2010-10-09,4
2010-10-10,3
2010-10-11,3
2010-10-12,2
2010-10-13,1
2010-10-14,1
2010-10-16,3
2010-10-17,4
2010-10-18,2
2010-10-19,1
2010-10-20,3
2010-10-21,1
2010-10-22,1
2010-10-24,5
2010-10-25,5
2010-10-26,3
2010-10-28,1
2010-10-29,1
2010-10-30,1
2010-10-31,1
2010-11-01,3
2010-11-02,1
2010-11-04,1
2010-11-05,1
2010-11-07,1
2010-11-08,2
2010-11-09,1
2010-11-10,1
2010-11-11,1
2010-11-13,2
2010-11-14,1
2010-11-15,1
2010-11-16,1
2010-11-20,1
2010-11-21,1
2010-11-22,2
2010-11-29,3
2010-12-02,2
2010-12-06,1
2010-12-07,1
2010-12-08,1
2010-12-20,1
2011-01-01,1
2011-01-02,1
2011-01-05,1
2011-01-08,1
2011-01-09,1
2011-01-10,1
2011-01-12,1
2011-01-13,1
2011-01-15,1
2011-01-17,1
2011-01-19,2
2011-01-20,1
2011-01-23,2
2011-01-24,1
2011-01-25,1
2011-02-08,1
2011-02-09,1
2011-02-16,2
2011-02-22,1
2011-02-25,1
2011-02-26,1
