id,neighborhood,neighborhood_overview
4598026,Allston-Brighton,"The neighborhood is full of life, yet safe and quiet: Bookstores, libraries, universities, international cuisine, bakeries, grocery stores, public transportation. "
13578106,Allston-Brighton,
8310660,Allston-Brighton,"Allston is a neighborhood full of students and young professionals. Allston has some of the best asian restaurants and bars in Boston, be sure to check out the recommended locations in the GuideBook."
5858133,Allston-Brighton,
12262803,Allston-Brighton,
13490438,Allston-Brighton,"Central Allston, student area, safe walk day and night. Close to Harvard square by bus or bike, walk there about 30 min. Easy access to Boston Central by bus 57 and walk about 10 min or take 2 stop Green line to Hynes Convention center to get to Newbury Street/Prudential center across Apple store, or to Park Street to see Government building on Beacon Hill."
9541666,Allston-Brighton,
14651378,Allston-Brighton,
8417742,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square. Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
13028247,Allston-Brighton,
8029788,Allston-Brighton,
7783953,Allston-Brighton,"Quiet and safe neighborhood with graduate students and working professionals. Opposite to the Boston Public Library (Honan-Allston branch), walking distance to restaurants, grocery stores and bars. Very close to Harvard Stadium and public park for basket ball, soccer, baseball and various activities."
9470342,Allston-Brighton,"Very many students in the neighborhood, charming and hip restaurants. Convenience store is a 2 minute walk, and grocery store is a 5 minute walk."
13801598,Allston-Brighton,
11494020,Allston-Brighton,it is near everything you need And the bed is not big but fits a couple
6373729,Allston-Brighton,"Nice, quiet and safe!  Nothing happened to me so far of walking down on street alone in the night."
7602994,Allston-Brighton,"B Line Packards Corner and 66 bus station within walking distance, Star Market one station away (2 min walking), behind Super 88 Market & Food Court, Harvard Avenue next station, Gyms n yoga clubs nearby"
11022736,Allston-Brighton,
5762866,Allston-Brighton,"Sandwiched between Harvard and BU, Allston has it all. "
9078482,Allston-Brighton,
11818157,Allston-Brighton,
8238078,Allston-Brighton,"Look up Allston Village, you will get enormous info about the area. It is close to Harvard, MIT, Boston University by bus, biking, or walking. There are plenty of bars/restaurants where you can go to."
6923942,Allston-Brighton,
8461819,Allston-Brighton,"The proximity to the city, the sophisticated young adult vibe, and the many coffee shops and restaurants within a mile"
13374823,Allston-Brighton,"Cleveland Circle is a beautiful and safe neighborhood filled with young professionals. It boasts three train lines, the Reservoir-a great place for running, and numerous restaurants including my favorites Cityside and Eagle's Deli."
10208321,Allston-Brighton,
7735518,Allston-Brighton,"Very safe and convenient neighborhood close to Harvard Square. Walk to the grocery store, Brugger's bagels, sushi restaurant, wine store, breakfast places, restaurants, bus service to Harvard Square, etc."
13684319,Allston-Brighton,Safe and quiet neighborhood. Things are quite orderly and organized here. Street parking is easy and no permit is required. A large Star Market (grocery store) is only about 6 minute walk.
8780440,Allston-Brighton,"Across the street are three cool restaurants/juice bar. This unit sits between two centers; Cleveland Circle and Brighton Center. Both offer restaurants, coffee shops, nightlife, grocery stores, bakeries and more. Steps to Beautiful reservoir, Boston Marathon runs right thru, near Saint Elizabeth's Hospital, Boston College , Boston University, and easy access to major highways, mass pike, and down town Boston."
4964365,Allston-Brighton,"We love our neighborhood's close proximity to public transportation to get anywhere within our city, also our location in proximity to the Brookline, Allston, Brighton and Cambridge neighborhoods.  Walk in any direction and you will hit a quiet, beautiful tree lined street next to a neighborhood park, a busy Boston city street, you name it!  Places not everyone knows about that are >15 min walks from our apartment: - unique Boston views from Corey Hill park off of Summit Ave - tennis courts in ""Coolidge Park"" off of Columbia Street Other googlable nearby places: - our favorite hip restaurants of Washington Sq.: Ribelle, Fairsted Kitchen, Barcelona, The Fireplace - our favorite Allston joints: Shanghai Gate, Brighton Music Hall, Deep Ellum, Carlos Cucina - best local grocery and liquor stores: Brookline Liquors, Whole Foods, Trader Joe's - shops:  TJ Maxx, Urban Outfitters - neighborhoods: Coolidge Corner (Brookline), Union square (Allston)"
7721323,Allston-Brighton,It is a very nice neighborhood. You can take the Green Line downtown or busses to Harvard Square. The apartment is very close to Boston College.
11343048,Allston-Brighton,"Allston is a vibrant neighborhood with lots of amazing places to go and eat or go out for a drink. In the summer, it makes for an amazing bike ride to great areas in the city."
1961034,Allston-Brighton,
9723217,Allston-Brighton,"Allston is a unique student area with tons of International food places, bars, clubs. But you will no find cafes near by, maybe only one (still don't know why).  Swissbakers would be my first choice, but 20 min walk away or bus 66 to Western Ave (one stop after Library). Harvard business school campus has a cafe that can be use by public, close walk from Swissbakers. Tip: take a picture of the area maps because your phone may not have internet connection. Pictures of maps can be enlarged on iPhones."
5447285,Allston-Brighton,
13391054,Allston-Brighton,
13824970,Allston-Brighton,
8378257,Allston-Brighton,We are right in Brighton's oak square. We have a very cute neighborhood that is filled with amazing food options and few good bars to explore. We are located 15 minutes by cab from downtown and about 25 minutes by train. But it makes our neighborhood more suburban than in the city.
13606268,Allston-Brighton,"Incredible music, awesome restaurants, great shopping."
8014950,Allston-Brighton,"The apartment is less than 5 minutes walking distance to B, C & D Lines on Green line branches, and buses to Harvard Square. Quick train ride from Back Bay and Downtown area of Boston. Very close Washington Square, Coolidge Corner, Boston Collage and Boston University. Everything you need is less than 5-10 min walk away - lots of great restaurants, supermarkets, bars, convenience stores nearby."
13478868,Allston-Brighton,
13265095,Allston-Brighton,
4710583,Allston-Brighton,
